weinberg_k,peak_prominence,peak_min_distance_ms,pdr_mae_m,ensemble_mae_m
0.56,0.06,400.0,3.3526968838240516,2.2157665848825108
0.55,0.06,400.0,3.352066098722078,2.2158419917804975
0.56,0.08,400.0,3.3554969143365407,2.21613926031284
0.55,0.08,400.0,3.355853960071219,2.216399350168922
0.57,0.06,400.0,3.358239307264033,2.2166128638632405
0.56,0.1,400.0,3.3591437116989376,2.2166713699245233
0.57,0.08,400.0,3.359960571927495,2.2167960673792937
0.54,0.06,400.0,3.356569268488661,2.2168867438081135
0.55,0.1,400.0,3.360478785213675,2.217104855225205
0.57,0.1,400.0,3.36259204865026,2.2171508080294298
0.56,0.12,400.0,3.3627071734493734,2.2172496687543344
0.57,0.12,400.0,3.365207973153166,2.217522974888287
0.54,0.08,400.0,3.361302912808452,2.2176230296010955
0.56,0.14,400.0,3.3661401982389396,2.217788241211713
0.55,0.12,400.0,3.3649406332448404,2.2178836080152067
0.57,0.14,400.0,3.3677368648174357,2.2179046772704223
0.58,0.08,400.0,3.3690099701341265,2.21834695914405
0.58,0.06,400.0,3.3684442221505146,2.218366912357036
0.54,0.1,400.0,3.366861225562664,2.218499783950773
0.58,0.1,400.0,3.37058707449315,2.218519345976016
0.55,0.14,400.0,3.369268377349916,2.218574309673861
0.58,0.12,400.0,3.3721878539640273,2.2186822475446784
0.58,0.14,400.0,3.373775097577528,2.2189013975284886
0.54,0.12,400.0,3.3722103494340887,2.2194646155231372
0.54,0.14,400.0,3.3774107830865634,2.220303841929511
